"sub_interest" "Freq"
"319" "betray" 1
"320" "betsy" 1
"321" "better" 1
"322" "bicep" 1
"323" "black" 1
"324" "blagojevich" 1
"325" "boom" 1
"326" "born" 1
"327" "bottle" 1
"328" "boys" 1
"329" "branch" 1
"330" "breaking" 1
"331" "brewing" 1
"332" "broke" 1
"333" "bruises" 1
"334" "bureau" 1
"335" "bush" 1
"336" "buying" 1
"337" "cable" 1
"338" "california" 1
"339" "calling" 1
"340" "calls" 1
"341" "came" 1
"342" "camera" 1
"343" "campaigns" 1
"344" "campuses" 1
"345" "canada" 1
"346" "captured" 1
"347" "caravan" 1
"348" "career" 1
"349" "carolina" 1
"350" "catastrophic" 1
"351" "cathartic" 1
"352" "cats" 1
"353" "celebrate" 1
"354" "cellphone" 1
"355" "ceremony" 1
"356" "chance" 1
"357" "charlottesville" 1
"358" "chicago" 1
"359" "children" 1
"360" "chimelong" 1
"361" "china" 1
"362" "choice" 1
"363" "circumstances" 1
"364" "circus" 1
"365" "citing" 1
"366" "claiming" 1
"367" "class" 1
"368" "classmate" 1
"369" "clause" 1
"370" "claw" 1
"371" "clear" 1
"372" "cliff" 1
"373" "climb" 1
"374" "closed" 1
"375" "closest" 1
"376" "closures" 1
"377" "clouds" 1
"378" "cockatoo" 1
"379" "coffee" 1
"380" "cold" 1
"381" "collaboration" 1
"382" "columbine" 1
"383" "comedian" 1
"384" "comey" 1
"385" "commentator" 1
"386" "commenting" 1
"387" "comments" 1
"388" "communities" 1
"389" "commuting" 1
"390" "conclude" 1
"391" "conference" 1
"392" "confines" 1
"393" "congratulations" 1
"394" "connection" 1
"395" "connections" 1
"396" "connors" 1
"397" "considering" 1
"398" "contemplating" 1
"399" "contestant" 1
"400" "continues" 1
"401" "control" 1
"402" "controversial" 1
"403" "correctly" 1
"404" "correspondent" 1
"405" "cost" 1
"406" "counsel" 1
"407" "counsels" 1
"408" "cover" 1
"409" "crash" 1
"410" "creative" 1
"411" "crews" 1
"412" "critical" 1
"413" "critically" 1
"414" "criticism" 1
"415" "crossed" 1
"416" "crying" 1
"417" "cubs" 1
"418" "culture" 1
"419" "curious" 1
"420" "custody" 1
"421" "damage" 1
"422" "damaging" 1
"423" "dangerous" 1
"424" "danny" 1
"425" "daughter" 1
"426" "deal" 1
"427" "december" 1
"428" "decision" 1
"429" "declaration" 1
"430" "deeply" 1
"431" "define" 1
"432" "degrading" 1
"433" "delivered" 1
"434" "demanding" 1
"435" "democratic" 1
"436" "department" 1
"437" "deployed" 1
"438" "deported" 1
"439" "describes" 1
"440" "destruction" 1
"441" "deter" 1
"442" "determine" 1
"443" "devos" 1
"444" "dicaprio" 1
"445" "dickson" 1
"446" "died" 1
"447" "diego" 1
"448" "diplomatic" 1
"449" "director" 1
"450" "discrimination" 1
"451" "discussions" 1
"452" "disney" 1
"453" "dispatcher" 1
"454" "distressing" 1
"455" "doctor" 1
"456" "doctors" 1
"457" "dont" 1
"458" "doors" 1
"459" "double" 1
"460" "drag" 1
"461" "drake" 1
"462" "dramatic" 1
"463" "draw" 1
"464" "drive" 1
"465" "driver" 1
"466" "driving" 1
"467" "dsouza" 1
"468" "dumpster" 1
"469" "dwelling" 1
"470" "eagles" 1
"471" "economist" 1
"472" "effort" 1
"473" "eight" 1
"474" "election" 1
"475" "elizabeth" 1
"476" "ella" 1
"477" "emergencies" 1
"478" "employee" 1
"479" "employees" 1
"480" "employers" 1
"481" "encounter" 1
"482" "endangered" 1
"483" "enforcement" 1
"484" "enjoyed" 1
"485" "enjoying" 1
"486" "enough" 1
"487" "entertainment" 1
"488" "equal" 1
"489" "europe" 1
"490" "european" 1
"491" "evaluations" 1
"492" "every" 1
"493" "excessively" 1
"494" "executive" 1
"495" "expenditures" 1
"496" "experience" 1
"497" "experts" 1
"498" "extended" 1
"499" "face" 1
"500" "facebook" 1
"501" "fake" 1
"502" "fallen" 1
"503" "falling" 1
"504" "false" 1
"505" "famous" 1
"506" "fans" 1
"507" "fantasy" 1
"508" "farquhar" 1
"509" "fatal" 1
"510" "father" 1
"511" "fearing" 1
"512" "federal" 1
"513" "fell" 1
"514" "female" 1
"515" "festival" 1
"516" "fewer" 1
"517" "fifa" 1
"518" "figured" 1
"519" "film" 1
"520" "films" 1
"521" "finance" 1
"522" "fire" 1
"523" "fired" 1
"524" "floor" 1
"525" "folks" 1
"526" "foot" 1
"527" "football" 1
"528" "foreign" 1
"529" "fourth" 1
"530" "freeman" 1
"531" "full" 1
"532" "funnel" 1
"533" "garage" 1
"534" "george" 1
"535" "gestured" 1
"536" "giant" 1
"537" "global" 1
"538" "glow" 1
"539" "goal" 1
"540" "going" 1
"541" "golf" 1
"542" "golfers" 1
"543" "good" 1
"544" "graduation" 1
"545" "grand" 1
"546" "grandmother" 1
"547" "guangzhou" 1
"548" "guilty" 1
"549" "handguns" 1
"550" "hangs" 1
"551" "happened" 1
"552" "happy" 1
"553" "hardening" 1
"554" "hardly" 1
"555" "harris" 1
"556" "harry" 1
"557" "harrys" 1
"558" "head" 1
"559" "health" 1
"560" "heat" 1
"561" "heavenly" 1
"562" "heavy" 1
"563" "heights" 1
"564" "helicopter" 1
"565" "helped" 1
"566" "helping" 1
"567" "hereand" 1
"568" "hiking" 1
"569" "hiring" 1
"570" "holds" 1
"571" "hole" 1
"572" "homes" 1
"573" "honeymoon" 1
"574" "hopes" 1
"575" "horowitz" 1
"576" "hospital" 1
"577" "hours" 1
"578" "houston" 1
"579" "hulu" 1
"580" "hurled" 1
"581" "idaho" 1
"582" "illegal" 1
"583" "illinois" 1
"584" "illustrator" 1
"585" "imagined" 1
"586" "impact" 1
"587" "incident" 1
"588" "included" 1
"589" "includes" 1
"590" "increasing" 1
"591" "increasingly" 1
"592" "incredibly" 1
"593" "indefensible" 1
"594" "injuries" 1
"595" "insensitive" 1
"596" "intelligence" 1
"597" "intense" 1
"598" "interesting" 1
"599" "internal" 1
"600" "international" 1
"601" "intimate" 1
"602" "investigates" 1
"603" "investigating" 1
"604" "investigators" 1
"605" "invoking" 1
"606" "itll" 1
"607" "jackson" 1
"608" "james" 1
"609" "jersey" 1
"610" "journalist" 1
"611" "july" 1
"612" "jumping" 1
"613" "jury" 1
"614" "kanye" 1
"615" "kardashian" 1
"616" "karen" 1
"617" "keep" 1
"618" "keeps" 1
"619" "killer" 1
"620" "killing" 1
"621" "klein" 1
"622" "koinonia" 1
"623" "labor" 1
"624" "landslide" 1
"625" "lane" 1
"626" "launch" 1
"627" "laws" 1
"628" "leading" 1
"629" "learned" 1
"630" "least" 1
"631" "leaves" 1
"632" "left" 1
"633" "leonardo" 1
"634" "leopard" 1
"635" "levy" 1
"636" "lgbt" 1
"637" "lift" 1
"638" "like" 1
"639" "limitations" 1
"640" "list" 1
"641" "listen" 1
"642" "listening" 1
"643" "lives" 1
"644" "llamas" 1
"645" "long" 1
"646" "lord" 1
"647" "lose" 1
"648" "love" 1
"649" "lower" 1
"650" "lucky" 1
"651" "makes" 1
"652" "management" 1
"653" "manager" 1
"654" "managing" 1
"655" "manhunt" 1
"656" "many" 1
"657" "markle" 1
"658" "mays" 1
"659" "means" 1
"660" "measures" 1
"661" "meddling" 1
"662" "meet" 1
"663" "meetings" 1
"664" "meets" 1
"665" "meghan" 1
"666" "members" 1
"667" "memory" 1
"668" "mental" 1
"669" "messagesloud" 1
"670" "messy" 1
"671" "miami" 1
"672" "middle" 1
"673" "mighty" 1
"674" "migos" 1
"675" "migrant" 1
"676" "minor" 1
"677" "miracle" 1
"678" "miss" 1
"679" "missouri" 1
"680" "mistake" 1
"681" "moments" 1
"682" "month" 1
"683" "morning" 1
"684" "mother" 1
"685" "mountain" 1
"686" "mountainous" 1
"687" "mourning" 1
"688" "mouth" 1
"689" "moves" 1
"690" "muellers" 1
"691" "multiple" 1
"692" "music" 1
"693" "nation" 1
"694" "need" 1
"695" "negotiator" 1
"696" "nemmani" 1
"697" "nemmanifrom" 1
"698" "netflix" 1
"699" "network" 1
"700" "newborn" 1
